"Research Summary","tags","Use this keyword to tag Research Overview type of articles: this tag is used to group those","filtered_html","0",""
"Metereology","tags","Metereology related articles","filtered_html","0",""
"Limnology","tags","Lake research related articles","filtered_html","0",""
"Soils","tags","Soils related articles","filtered_html","0",""
"Disturbance","tags","Disturbances often shape ecosystems by periodically reorganizing or destroying them, allowing for significant changes in plant and animal populations and communities.","filtered_html","0",""
"Inorganic nutrients","tags","Nitrogen, phosphorus and other mineral nutrients are cycled through the ecosystem by way of decay and disturbances such as fire and flood. In excessive quantities nitrogen and other nutrients can have far-reaching and harmful effects on the environment.","filtered_html","0",""
"Organic matter","tags","The entire ecosystem relies on the recycling of organic matter (and the nutrients it contains), including dead plants, animals, and other organisms. Decomposition of organic matter and its movement through the ecosystem is an important component of the food web.","filtered_html","0",""
"Populations","tags","A population is a group of organisms of the same species. Like canaries in the coalmine, changes in populations of organisms can be important indicators of environmental changes.","filtered_html","0",""
"Primary production","tags","Plant growth in most ecosystems forms the base or “primary” component of the food web. The amount and type of plant growth in an ecosystem helps to determine the amount and kind of animals (or “secondary” productivity) that can survive there.","filtered_html","0",""
"Season Blogs","outreach","Blogs active this season","filtered_html","0",""
"Schoolyard","outreach","Schoolyard activities","filtered_html","0",""
"Conferences","outreach","Meetings and conferences","filtered_html","0",""
"Awards","outreach","Awards","filtered_html","0",""

